DATE;KURŞUNSUZ BENZİN (TL/LT);GAZ YAĞI (TL/LT);TP MOTORİN (TL/LT);MOTORİN (TL/LT);KALORİFER YAKITI (TL/KG);FUEL OIL (TL/KG);Y.K. FUEL OIL (TL/KG)
8.Haz.22;26,24 ;24,72 ;27,87 ;27,83 ;19,53 ;15,39 ;13,01 
9.Haz.22;26,24 ;26,08 ;27,87 ;27,83 ;19,53 ;15,39 ;13,01 
10.Haz.22;26,24 ;26,08 ;27,88 ;27,84 ;20,78 ;16,24 ;13,28 
11.Haz.22;28,42 ;27,48 ;27,88 ;27,84 ;20,78 ;16,24 ;13,28 
15.Haz.22;27,46 ;27,48 ;27,88 ;27,84 ;20,78 ;16,24 ;13,28 
16.Haz.22;27,46 ;27,48 ;29,15 ;29,11 ;21,41 ;16,72 ;13,86 
17.Haz.22;27,52 ;27,48 ;30,00 ;29,95 ;21,39 ;16,27 ;13,46 
21.Haz.22;27,52 ;27,48 ;30,00 ;29,95 ;20,54 ;15,46 ;12,69 
23.Haz.22;27,26 ;27,48 ;30,00 ;29,95 ;20,54 ;15,46 ;12,69 
29.Haz.22;27,26 ;27,48 ;27,50 ;27,45 ;20,54 ;15,46 ;12,69 
30.Haz.22;27,26 ;24,30 ;26,65 ;26,61 ;19,21 ;14,82 ;12,68 
2.Tem.22;25,13 ;24,30 ;26,65 ;26,61 ;19,21 ;14,82 ;12,68 
5.Tem.22;25,17 ;24,30 ;26,70 ;26,65 ;19,21 ;14,82 ;12,68 
6.Tem.22;25,17 ;24,30 ;26,70 ;26,65 ;19,21 ;14,82 ;12,68 
8.Tem.22;25,17 ;21,73 ;24,61 ;24,55 ;17,52 ;13,44 ;11,58 
9.Tem.22;25,19 ;22,64 ;25,47 ;25,40 ;18,24 ;14,05 ;12,17 
14.Tem.22;23,66 ;22,64 ;25,47 ;25,40 ;18,24 ;14,05 ;12,17 
15.Tem.22;23,66 ;22,64 ;25,47 ;25,40 ;17,85 ;13,48 ;11,17 
19.Tem.22;22,69 ;22,64 ;25,47 ;25,40 ;17,85 ;13,48 ;11,17 
20.Tem.22;22,71 ;22,64 ;25,45 ;25,40 ;17,85 ;13,48 ;11,17 
21.Tem.22;22,71 ;22,64 ;25,45 ;25,40 ;18,39 ;14,63 ;11,89 
26.Tem.22;22,71 ;22,64 ;24,53 ;24,48 ;18,39 ;14,63 ;11,89 
27.Tem.22;22,23 ;22,64 ;24,53 ;24,48 ;18,39 ;14,63 ;11,89 
28.Tem.22;22,25 ;22,64 ;24,55 ;24,50 ;18,39 ;14,63 ;11,89 
30.Tem.22;22,25 ;22,64 ;24,55 ;24,50 ;18,39 ;14,63 ;11,89 
2.Ağu.22;22,25 ;22,64 ;24,55 ;24,50 ;19,15 ;15,77 ;12,55 
3.Ağu.22;22,25 ;22,64 ;24,55 ;24,50 ;18,14 ;15,11 ;11,96 
6.Ağu.22;20,02 ;22,64 ;23,40 ;23,35 ;18,14 ;15,11 ;11,96 
9.Ağu.22;20,04 ;21,37 ;23,42 ;23,37 ;18,14 ;15,11 ;11,96 
10.Ağu.22;20,04 ;20,78 ;22,42 ;22,37 ;18,14 ;15,11 ;11,96 
11.Ağu.22;20,04 ;21,42 ;23,23 ;23,18 ;17,94 ;15,06 ;11,23 
13.Ağu.22;21,15 ;21,42 ;23,23 ;23,18 ;17,94 ;15,06 ;11,23 
16.Ağu.22;21,15 ;22,74 ;23,23 ;23,18 ;17,94 ;15,06 ;11,23 
18.Ağu.22;20,32 ;22,74 ;24,00 ;23,95 ;17,94 ;15,06 ;11,23 
20.Ağu.22;20,34 ;22,74 ;25,08 ;25,03 ;17,94 ;15,06 ;11,23 
23.Ağu.22;21,15 ;22,74 ;25,08 ;25,03 ;17,94 ;15,06 ;11,23 
24.Ağu.22;21,15 ;22,74 ;25,08 ;25,03 ;18,56 ;14,67 ;10,70 
25.Ağu.22;21,15 ;24,21 ;26,03 ;25,98 ;19,07 ;15,25 ;11,17 
26.Ağu.22;21,15 ;25,06 ;26,90 ;26,85 ;19,07 ;15,25 ;11,17 
27.Ağu.22;21,18 ;25,06 ;26,93 ;26,88 ;19,07 ;15,25 ;11,17 
30.Ağu.22;20,14 ;25,06 ;26,93 ;26,88 ;19,07 ;15,25 ;11,17 
2.Eyl.22;20,14 ;25,06 ;26,93 ;26,88 ;18,40 ;14,76 ;9,90 
3.Eyl.22;18,62 ;22,79 ;24,50 ;24,45 ;17,83 ;14,40 ;9,45 
6.Eyl.22;19,23 ;23,40 ;25,24 ;25,19 ;18,41 ;14,91 ;9,69 
7.Eyl.22;19,23 ;23,40 ;26,01 ;25,96 ;18,41 ;14,91 ;9,69 
8.Eyl.22;19,23 ;23,40 ;24,87 ;24,82 ;18,41 ;14,91 ;9,69 
9.Eyl.22;19,23 ;23,40 ;24,87 ;24,82 ;17,84 ;14,26 ;8,61 
14.Eyl.22;19,23 ;23,40 ;24,87 ;24,82 ;18,31 ;14,62 ;9,22 
15.Eyl.22;19,23 ;23,40 ;24,87 ;24,82 ;17,82 ;14,34 ;8,59 
16.Eyl.22;19,23 ;21,65 ;24,87 ;24,82 ;17,46 ;14,47 ;8,34 
17.Eyl.22;19,23 ;20,17 ;24,87 ;24,82 ;16,88 ;14,21 ;8,11 
20.Eyl.22;19,23 ;20,17 ;23,11 ;23,06 ;16,88 ;14,21 ;8,11 
27.Eyl.22;19,24 ;21,31 ;23,14 ;23,09 ;16,88 ;14,21 ;8,11 
28.Eyl.22;19,26 ;21,31 ;23,16 ;23,11 ;16,62 ;13,78 ;7,66 
30.Eyl.22;19,25 ;21,31 ;23,15 ;23,10 ;17,29 ;13,94 ;8,23 
4.Eki.22;19,25 ;21,31 ;23,15 ;23,10 ;17,23 ;13,96 ;8,79 
5.Eki.22;19,87 ;21,31 ;24,25 ;24,20 ;17,69 ;14,27 ;10,03 
6.Eki.22;20,62 ;21,31 ;25,64 ;25,59 ;18,38 ;14,50 ;10,47 
7.Eki.22;20,63 ;21,31 ;27,16 ;27,11 ;19,11 ;14,73 ;10,82 
8.Eki.22;20,63 ;21,31 ;27,16 ;27,11 ;19,30 ;14,83 ;11,16 
11.Eki.22;20,63 ;24,63 ;28,54 ;28,49 ;19,99 ;15,28 ;11,32 
13.Eki.22;20,63 ;22,35 ;26,41 ;26,36 ;18,58 ;14,33 ;10,65 
14.Eki.22;20,63 ;23,67 ;26,44 ;26,39 ;18,57 ;14,00 ;10,20 
15.Eki.22;20,63 ;23,67 ;27,43 ;27,39 ;18,57 ;14,00 ;10,20 
22.Eki.22;20,65 ;22,25 ;26,39 ;26,34 ;18,57 ;14,00 ;10,20 
1.Kas.22;21,39 ;22,25 ;26,42 ;26,37 ;18,57 ;14,00 ;10,20 
3.Kas.22;21,39 ;22,25 ;26,42 ;26,37 ;18,17 ;14,33 ;10,49 
4.Kas.22;22,70 ;22,25 ;26,42 ;26,37 ;18,17 ;14,33 ;10,49 
8.Kas.22;22,70 ;22,25 ;26,40 ;26,35 ;18,83 ;14,44 ;11,08 
12.Kas.22;22,70 ;23,70 ;26,40 ;26,35 ;17,63 ;13,75 ;10,81 
15.Kas.22;22,70 ;23,70 ;24,84 ;24,79 ;17,63 ;13,75 ;10,81 
16.Kas.22;22,70 ;23,70 ;24,84 ;24,79 ;17,63 ;13,75 ;10,81 
17.Kas.22;21,93 ;22,68 ;24,84 ;24,79 ;17,63 ;13,75 ;10,81 
19.Kas.22;21,18 ;22,68 ;24,84 ;24,79 ;17,63 ;13,75 ;10,81 
22.Kas.22;21,19 ;22,68 ;24,85 ;24,80 ;16,39 ;12,26 ;10,41 
23.Kas.22;20,03 ;22,68 ;24,85 ;24,80 ;15,71 ;11,58 ;9,70 
24.Kas.22;20,63 ;22,68 ;23,90 ;23,86 ;16,54 ;12,56 ;10,32 
25.Kas.22;20,16 ;22,68 ;23,90 ;23,86 ;16,14 ;12,23 ;9,91 
29.Kas.22;20,16 ;21,43 ;23,08 ;23,04 ;16,14 ;12,23 ;9,91 
30.Kas.22;20,16 ;20,58 ;22,50 ;22,45 ;16,14 ;12,23 ;9,91 
3.Ara.22;20,16 ;21,59 ;23,66 ;23,61 ;16,14 ;12,23 ;9,91 
6.Ara.22;20,19 ;21,59 ;22,98 ;22,93 ;16,23 ;12,64 ;10,08 
8.Ara.22;18,06 ;19,27 ;21,09 ;21,04 ;15,19 ;12,15 ;9,64 
9.Ara.22;18,14 ;19,27 ;21,11 ;21,06 ;14,76 ;11,60 ;9,76 
10.Ara.22;17,40 ;19,27 ;21,11 ;21,06 ;14,76 ;11,60 ;9,76 
13.Ara.22;17,40 ;19,27 ;21,11 ;21,06 ;14,76 ;11,60 ;9,76 
14.Ara.22;17,42 ;19,27 ;21,11 ;21,06 ;14,76 ;11,60 ;9,76 
16.Ara.22;18,49 ;19,27 ;21,11 ;21,06 ;14,76 ;11,60 ;9,76 
17.Ara.22;18,49 ;21,06 ;22,81 ;22,76 ;15,64 ;11,84 ;9,76 
20.Ara.22;17,89 ;20,30 ;22,04 ;21,99 ;15,64 ;11,84 ;9,76 
23.Ara.22;18,59 ;20,30 ;22,05 ;22,00 ;15,64 ;11,84 ;9,76 
24.Ara.22;18,59 ;20,30 ;22,05 ;22,00 ;16,02 ;12,72 ;10,57 
27.Ara.22;18,60 ;20,30 ;22,07 ;22,02 ;15,90 ;12,46 ;10,27 
31.Ara.22;19,44 ;20,30 ;22,07 ;22,02 ;15,90 ;12,46 ;10,27 
1.Oca.23;19,45 ;20,31 ;22,08 ;22,03 ;15,91 ;12,47 ;10,28 
3.Oca.23;19,51 ;20,31 ;22,09 ;22,04 ;15,91 ;12,47 ;10,28 
6.Oca.23;19,52 ;19,58 ;22,11 ;22,06 ;14,90 ;11,69 ;9,26 
10.Oca.23;19,52 ;20,42 ;22,11 ;22,06 ;14,90 ;11,69 ;9,26 
11.Oca.23;18,89 ;20,42 ;22,11 ;22,06 ;14,90 ;11,69 ;9,26 
13.Oca.23;19,68 ;20,42 ;22,11 ;22,06 ;14,90 ;11,69 ;9,26 
14.Oca.23;19,68 ;20,42 ;22,11 ;22,06 ;15,91 ;12,33 ;9,37 
17.Oca.23;20,34 ;21,89 ;22,11 ;22,06 ;15,91 ;12,33 ;9,37 
18.Oca.23;20,34 ;21,89 ;23,16 ;23,11 ;15,91 ;12,33 ;9,37 
20.Oca.23;20,34 ;21,89 ;23,16 ;23,11 ;16,49 ;12,79 ;10,17 
21.Oca.23;20,34 ;21,89 ;23,16 ;23,11 ;16,15 ;12,40 ;9,91 
24.Oca.23;20,40 ;21,89 ;23,19 ;23,14 ;16,15 ;12,40 ;9,91 
25.Oca.23;21,66 ;24,08 ;23,19 ;23,14 ;16,91 ;12,84 ;10,30 
26.Oca.23;21,66 ;23,41 ;24,01 ;23,97 ;16,91 ;12,84 ;10,30 
27.Oca.23;21,05 ;23,41 ;23,40 ;23,36 ;16,25 ;12,51 ;9,91 
28.Oca.23;21,06 ;23,41 ;23,43 ;23,38 ;16,25 ;12,51 ;9,91 
2.Şub.23;21,08 ;21,80 ;22,43 ;22,39 ;16,25 ;12,51 ;9,91 
3.Şub.23;21,07 ;21,80 ;21,77 ;21,72 ;16,25 ;12,51 ;9,91 
4.Şub.23;21,07 ;20,25 ;21,09 ;21,04 ;16,25 ;12,51 ;9,91 
7.Şub.23;21,07 ;19,46 ;21,09 ;21,04 ;15,12 ;12,45 ;9,24 
8.Şub.23;19,70 ;18,64 ;19,93 ;19,89 ;15,12 ;12,45 ;9,24 
9.Şub.23;19,70 ;19,64 ;19,93 ;19,89 ;15,12 ;12,45 ;9,24 
11.Şub.23;19,70 ;19,64 ;19,93 ;19,89 ;15,57 ;13,00 ;9,90 
14.Şub.23;20,84 ;19,64 ;21,20 ;21,15 ;15,57 ;13,00 ;9,90 
18.Şub.23;20,85 ;19,64 ;21,22 ;21,17 ;15,57 ;13,00 ;9,90 
22.Şub.23;20,88 ;18,73 ;21,22 ;21,17 ;15,57 ;13,00 ;9,90 
23.Şub.23;20,39 ;18,73 ;21,22 ;21,17 ;15,21 ;12,48 ;10,18 
24.Şub.23;20,39 ;18,73 ;20,59 ;20,54 ;15,21 ;12,48 ;10,18 
1.Mar.23;20,42 ;18,73 ;20,61 ;20,56 ;15,21 ;12,48 ;10,18 
4.Mar.23;20,42 ;19,45 ;21,51 ;21,46 ;15,21 ;12,48 ;10,18 
8.Mar.23;20,42 ;19,45 ;21,51 ;21,46 ;15,88 ;12,98 ;10,91 
9.Mar.23;20,43 ;19,45 ;21,53 ;21,48 ;15,88 ;12,98 ;10,91 
10.Mar.23;20,43 ;19,45 ;21,53 ;21,48 ;15,30 ;12,45 ;10,63 
11.Mar.23;20,43 ;19,45 ;21,53 ;21,48 ;15,30 ;12,45 ;10,63 
14.Mar.23;20,43 ;18,71 ;21,53 ;21,48 ;15,41 ;12,37 ;11,54 
15.Mar.23;20,45 ;18,71 ;20,85 ;20,80 ;15,41 ;12,37 ;11,54 
16.Mar.23;20,45 ;18,71 ;20,85 ;20,80 ;14,99 ;11,83 ;11,35 
17.Mar.23;20,45 ;16,84 ;19,51 ;19,47 ;13,88 ;10,93 ;10,51 
21.Mar.23;20,47 ;16,84 ;20,37 ;20,32 ;13,88 ;10,93 ;10,51 
24.Mar.23;20,47 ;17,33 ;20,37 ;20,32 ;14,60 ;11,53 ;10,73 
25.Mar.23;20,50 ;17,33 ;20,43 ;20,38 ;14,60 ;11,53 ;10,73 
28.Mar.23;21,31 ;17,33 ;20,43 ;20,38 ;14,60 ;11,53 ;10,73 
31.Mar.23;21,31 ;18,00 ;20,43 ;20,38 ;14,92 ;12,16 ;11,20 
4.Nis.23;21,30 ;18,00 ;20,42 ;20,37 ;14,92 ;12,16 ;11,20 
5.Nis.23;22,42 ;18,00 ;20,42 ;20,37 ;15,78 ;13,07 ;12,20 
6.Nis.23;22,42 ;18,00 ;20,42 ;20,37 ;15,78 ;13,07 ;12,20 
11.Nis.23;22,42 ;18,82 ;21,09 ;21,04 ;15,78 ;13,07 ;12,20 
12.Nis.23;22,41 ;18,82 ;21,06 ;21,01 ;15,78 ;13,07 ;12,20 
18.Nis.23;22,41 ;18,82 ;21,06 ;21,01 ;15,78 ;13,07 ;12,20 
21.Nis.23;21,21 ;18,17 ;20,15 ;20,10 ;15,78 ;13,07 ;12,20 
25.Nis.23;21,21 ;17,47 ;19,68 ;19,63 ;15,78 ;13,07 ;12,20 
26.Nis.23;21,21 ;17,47 ;19,70 ;19,65 ;15,78 ;13,07 ;12,20 
29.Nis.23;20,30 ;17,47 ;19,70 ;19,65 ;14,95 ;12,94 ;11,45 
30.Nis.23;20,30 ;17,47 ;19,70 ;19,65 ;14,95 ;12,94 ;11,45 
4.May.23;20,30 ;16,38 ;18,39 ;18,34 ;14,95 ;12,94 ;11,45 
5.May.23;20,30 ;15,94 ;17,91 ;17,86 ;14,95 ;12,94 ;11,45 
6.May.23;19,24 ;15,94 ;17,91 ;17,86 ;14,06 ;12,04 ;10,93 
9.May.23;19,67 ;16,63 ;18,57 ;18,52 ;14,50 ;12,42 ;11,43 
10.May.23;19,76 ;16,63 ;18,58 ;18,53 ;14,50 ;12,42 ;11,43 
19.May.23;19,76 ;16,63 ;19,33 ;19,28 ;14,50 ;12,42 ;11,43 
23.May.23;20,52 ;16,63 ;19,33 ;19,28 ;14,50 ;12,42 ;11,43 
24.May.23;20,52 ;16,63 ;19,34 ;19,29 ;14,50 ;12,42 ;11,43 
25.May.23;20,52 ;16,63 ;19,34 ;19,29 ;15,06 ;12,82 ;11,79 
30.May.23;21,19 ;16,63 ;19,34 ;19,29 ;15,06 ;12,82 ;11,79 
3.Haz.23;21,19 ;17,17 ;19,34 ;19,29 ;15,06 ;12,82 ;11,79 
6.Haz.23;21,19 ;17,17 ;19,34 ;19,29 ;15,06 ;12,82 ;11,79 
7.Haz.23;21,19 ;17,17 ;20,70 ;20,65 ;15,06 ;12,82 ;11,79 
8.Haz.23;21,19 ;18,39 ;20,70 ;20,65 ;16,17 ;13,65 ;12,29 
9.Haz.23;23,89 ;19,75 ;22,07 ;22,02 ;17,45 ;14,78 ;13,12 
10.Haz.23;23,89 ;19,75 ;22,07 ;22,02 ;17,45 ;14,78 ;13,12 
13.Haz.23;23,98 ;19,75 ;22,22 ;22,17 ;17,45 ;14,78 ;13,12 
16.Haz.23;24,01 ;19,75 ;22,23 ;22,18 ;17,45 ;14,78 ;13,12 
17.Haz.23;24,01 ;19,75 ;22,23 ;22,18 ;18,30 ;15,59 ;13,53 
20.Haz.23;24,01 ;19,75 ;23,87 ;23,82 ;18,30 ;15,59 ;13,53 
22.Haz.23;24,02 ;20,95 ;23,87 ;23,82 ;18,30 ;15,59 ;13,53 
27.Haz.23;24,01 ;20,95 ;23,84 ;23,79 ;19,28 ;16,46 ;14,87 
4.Tem.23;26,12 ;22,54 ;23,84 ;23,79 ;20,12 ;17,16 ;16,72 
6.Tem.23;26,12 ;22,54 ;24,71 ;24,66 ;20,12 ;17,16 ;16,72 
7.Tem.23;26,17 ;22,54 ;24,78 ;24,73 ;20,12 ;17,16 ;16,72 
10.Tem.23;26,62 ;22,93 ;25,21 ;25,16 ;20,46 ;17,45 ;17,00 
12.Tem.23;26,62 ;24,29 ;26,28 ;26,23 ;20,46 ;17,45 ;17,00 
13.Tem.23;26,62 ;24,29 ;26,28 ;26,23 ;21,56 ;18,18 ;17,60 
14.Tem.23;26,65 ;24,29 ;26,31 ;26,26 ;21,56 ;18,18 ;17,60 
15.Tem.23;27,97 ;24,29 ;26,31 ;26,26 ;21,56 ;18,18 ;17,60 
16.Tem.23;33,97 ;27,60 ;32,31 ;32,26 ;22,25 ;18,87 ;18,25 
18.Tem.23;33,99 ;27,60 ;32,31 ;32,26 ;22,25 ;18,87 ;18,25 
21.Tem.23;33,99 ;27,60 ;33,86 ;33,81 ;22,25 ;18,87 ;18,25 
25.Tem.23;35,99 ;29,59 ;33,86 ;33,81 ;22,25 ;18,87 ;18,25 
26.Tem.23;35,99 ;30,37 ;33,86 ;33,81 ;25,97 ;22,30 ;19,66 
28.Tem.23;35,99 ;30,37 ;35,29 ;35,24 ;25,97 ;22,30 ;19,66 
1.Ağu.23;35,99 ;30,37 ;36,36 ;36,31 ;25,97 ;22,30 ;19,66 
2.Ağu.23;35,99 ;30,37 ;36,36 ;36,31 ;27,32 ;23,58 ;20,67 
3.Ağu.23;36,04 ;32,79 ;36,39 ;36,34 ;27,32 ;23,58 ;20,67 
4.Ağu.23;36,04 ;32,79 ;36,43 ;36,39 ;27,32 ;23,58 ;20,67 
9.Ağu.23;36,06 ;32,79 ;36,45 ;36,41 ;27,32 ;23,58 ;20,67 
11.Ağu.23;36,06 ;32,79 ;38,25 ;38,21 ;27,32 ;23,58 ;20,67 
12.Ağu.23;36,06 ;32,79 ;38,25 ;38,21 ;28,63 ;24,69 ;21,60 
16.Ağu.23;37,61 ;32,79 ;38,25 ;38,21 ;28,63 ;24,69 ;21,60 
17.Ağu.23;37,66 ;32,79 ;38,32 ;38,28 ;28,63 ;24,69 ;21,60 
18.Ağu.23;37,66 ;32,79 ;36,80 ;36,76 ;28,63 ;24,69 ;21,60 
19.Ağu.23;37,66 ;32,79 ;36,80 ;36,76 ;27,82 ;23,92 ;21,00 
22.Ağu.23;37,66 ;32,79 ;37,80 ;37,76 ;27,82 ;23,92 ;21,00 
23.Ağu.23;37,69 ;32,79 ;37,83 ;37,79 ;27,82 ;23,92 ;21,00 
1.Eyl.23;36,70 ;32,79 ;37,83 ;37,79 ;27,10 ;23,26 ;20,19 
5.Eyl.23;36,75 ;32,79 ;37,86 ;37,82 ;27,10 ;23,26 ;20,19 
7.Eyl.23;36,75 ;32,79 ;37,86 ;37,82 ;28,44 ;24,17 ;21,84 
8.Eyl.23;36,78 ;32,79 ;37,89 ;37,85 ;28,44 ;24,17 ;21,84 
13.Eyl.23;36,78 ;34,95 ;39,91 ;39,87 ;28,44 ;24,17 ;21,84 
14.Eyl.23;38,42 ;34,95 ;39,91 ;39,87 ;28,44 ;24,17 ;21,84 
15.Eyl.23;38,47 ;34,95 ;39,96 ;39,92 ;28,44 ;24,17 ;21,84 
16.Eyl.23;38,47 ;34,95 ;39,96 ;39,92 ;29,76 ;24,79 ;23,17 
22.Eyl.23;38,51 ;34,95 ;40,00 ;39,96 ;29,76 ;24,79 ;23,17 
27.Eyl.23;36,57 ;34,95 ;40,00 ;39,96 ;29,15 ;24,71 ;22,45 
29.Eyl.23;36,61 ;34,95 ;40,06 ;40,02 ;29,15 ;24,71 ;22,45 
3.Eki.23;36,61 ;34,95 ;40,06 ;40,02 ;29,15 ;24,71 ;22,45 
4.Eki.23;36,61 ;34,95 ;40,06 ;40,02 ;29,15 ;24,71 ;22,45 
5.Eki.23;34,50 ;34,95 ;40,06 ;40,02 ;29,15 ;24,71 ;22,45 
6.Eki.23;33,46 ;34,95 ;40,13 ;40,09 ;27,64 ;23,07 ;21,04 
7.Eki.23;33,46 ;32,12 ;37,22 ;37,18 ;26,78 ;22,59 ;20,12 
10.Eki.23;33,51 ;32,12 ;37,28 ;37,24 ;26,78 ;22,59 ;20,12 
11.Eki.23;33,51 ;32,12 ;37,28 ;37,24 ;27,73 ;23,68 ;20,58 
17.Eki.23;33,54 ;35,04 ;39,56 ;39,52 ;27,73 ;23,68 ;20,58 
20.Eki.23;33,54 ;35,04 ;39,56 ;39,52 ;29,08 ;24,88 ;21,77 
21.Eki.23;35,02 ;35,04 ;39,56 ;39,52 ;29,08 ;24,88 ;21,77 
27.Eki.23;35,02 ;35,04 ;39,56 ;39,52 ;28,10 ;24,26 ;20,36 
31.Eki.23;35,02 ;33,25 ;37,98 ;37,94 ;27,99 ;24,27 ;19,65 
1.Kas.23;34,36 ;33,25 ;37,98 ;37,94 ;27,99 ;24,27 ;19,65 
2.Kas.23;34,40 ;33,25 ;38,00 ;37,96 ;27,99 ;24,27 ;19,65 
3.Kas.23;34,40 ;33,25 ;38,00 ;37,96 ;27,99 ;24,27 ;19,65 
7.Kas.23;34,48 ;33,25 ;37,99 ;37,95 ;27,99 ;24,27 ;19,65 
9.Kas.23;34,48 ;33,25 ;37,99 ;37,95 ;26,93 ;23,13 ;18,43 
14.Kas.23;34,48 ;33,25 ;36,36 ;36,32 ;26,93 ;23,13 ;18,43 
16.Kas.23;34,48 ;33,25 ;37,50 ;37,46 ;26,93 ;23,13 ;18,43 
17.Kas.23;34,50 ;33,25 ;37,52 ;37,48 ;26,93 ;23,13 ;18,43 
21.Kas.23;34,50 ;33,25 ;37,54 ;37,50 ;26,93 ;23,13 ;18,43 
22.Kas.23;34,50 ;33,25 ;37,54 ;37,50 ;27,42 ;23,80 ;19,54 
28.Kas.23;34,50 ;33,25 ;37,55 ;37,51 ;27,42 ;23,80 ;19,54 
2.Ara.23;34,50 ;33,25 ;37,55 ;37,51 ;27,42 ;23,80 ;19,54 
5.Ara.23;34,50 ;31,81 ;37,55 ;37,51 ;27,42 ;23,80 ;19,54 
6.Ara.23;34,50 ;31,81 ;37,55 ;37,51 ;26,51 ;22,81 ;19,47 
7.Ara.23;34,50 ;31,81 ;36,21 ;36,17 ;26,44 ;22,84 ;18,80 
8.Ara.23;34,52 ;30,02 ;35,39 ;35,35 ;25,51 ;21,97 ;17,87 
9.Ara.23;32,86 ;30,02 ;35,39 ;35,35 ;25,51 ;21,97 ;17,87 
12.Ara.23;32,92 ;30,02 ;35,41 ;35,37 ;25,51 ;21,97 ;17,87 
16.Ara.23;32,93 ;30,02 ;35,43 ;35,39 ;26,17 ;22,96 ;17,95 
20.Ara.23;34,46 ;30,02 ;35,45 ;35,41 ;26,17 ;22,96 ;17,95 
21.Ara.23;34,46 ;32,44 ;35,45 ;35,41 ;27,19 ;23,65 ;19,27 
22.Ara.23;34,46 ;32,44 ;37,10 ;37,06 ;27,19 ;23,65 ;19,27 
29.Ara.23;34,46 ;32,44 ;37,10 ;37,06 ;27,03 ;23,65 ;18,63 
1.Oca.24;34,48 ;32,45 ;37,11 ;37,07 ;27,05 ;23,66 ;18,64 
3.Oca.24;36,79 ;33,65 ;39,28 ;39,24 ;27,30 ;23,91 ;18,88 
5.Oca.24;36,74 ;33,65 ;38,94 ;38,90 ;27,30 ;23,91 ;18,88 
6.Oca.24;36,74 ;33,65 ;38,94 ;38,90 ;27,30 ;23,91 ;18,88 
9.Oca.24;36,74 ;32,63 ;38,94 ;38,90 ;27,30 ;23,91 ;18,88 
12.Oca.24;36,75 ;32,63 ;38,95 ;38,91 ;27,30 ;23,91 ;18,88 
13.Oca.24;36,75 ;32,63 ;38,95 ;38,91 ;27,30 ;23,91 ;18,88 
16.Oca.24;36,78 ;34,19 ;38,97 ;38,93 ;28,20 ;24,86 ;19,71 
18.Oca.24;36,78 ;34,19 ;38,97 ;38,93 ;28,20 ;24,86 ;19,71 
20.Oca.24;36,78 ;34,19 ;40,12 ;40,08 ;28,20 ;24,86 ;19,71 
23.Oca.24;36,82 ;34,19 ;40,19 ;40,14 ;28,20 ;24,86 ;19,71 
24.Oca.24;38,28 ;35,28 ;40,19 ;40,14 ;27,96 ;23,92 ;19,82 
26.Oca.24;38,28 ;35,28 ;40,22 ;40,17 ;27,96 ;23,92 ;19,82 
30.Oca.24;38,28 ;35,28 ;41,60 ;41,55 ;27,96 ;23,92 ;19,82 
31.Oca.24;38,28 ;35,28 ;41,60 ;41,55 ;29,17 ;24,71 ;20,97 
1.Şub.24;39,23 ;35,28 ;41,60 ;41,55 ;29,17 ;24,71 ;20,97 
2.Şub.24;39,26 ;35,28 ;41,63 ;41,58 ;29,17 ;24,71 ;20,97 
6.Şub.24;39,26 ;35,28 ;41,63 ;41,58 ;27,74 ;23,17 ;20,71 
7.Şub.24;39,26 ;35,28 ;41,63 ;41,58 ;27,74 ;23,17 ;20,71 
9.Şub.24;39,29 ;35,28 ;41,69 ;41,64 ;28,68 ;23,54 ;21,74 
13.Şub.24;39,29 ;35,28 ;44,25 ;44,20 ;29,66 ;24,10 ;22,31 
15.Şub.24;41,08 ;36,51 ;44,25 ;44,20 ;29,66 ;24,10 ;22,31 
16.Şub.24;41,13 ;36,51 ;44,28 ;44,23 ;29,66 ;24,10 ;22,31 
21.Şub.24;41,13 ;35,45 ;43,07 ;43,02 ;29,66 ;24,10 ;22,31 
22.Şub.24;40,37 ;35,45 ;41,97 ;41,92 ;29,72 ;25,27 ;22,27 
23.Şub.24;40,37 ;35,45 ;41,97 ;41,92 ;29,72 ;25,27 ;22,27 
1.Mar.24;40,37 ;35,45 ;40,63 ;40,58 ;29,72 ;25,27 ;22,27 
5.Mar.24;40,37 ;35,45 ;40,65 ;40,60 ;30,67 ;26,63 ;22,85 
12.Mar.24;40,41 ;34,29 ;40,68 ;40,63 ;30,67 ;26,63 ;22,85 
13.Mar.24;40,41 ;34,29 ;40,68 ;40,63 ;30,24 ;26,30 ;21,43 
15.Mar.24;41,96 ;34,29 ;41,80 ;41,75 ;30,71 ;26,68 ;22,35 
19.Mar.24;41,99 ;35,80 ;41,83 ;41,78 ;30,71 ;26,68 ;22,35 
20.Mar.24;41,99 ;35,80 ;41,83 ;41,78 ;31,73 ;27,41 ;23,41 
21.Mar.24;43,33 ;35,80 ;42,95 ;42,90 ;31,73 ;27,41 ;23,41 
22.Mar.24;43,35 ;35,80 ;42,96 ;42,91 ;31,73 ;27,41 ;23,41 
23.Mar.24;43,35 ;35,80 ;41,93 ;41,88 ;31,73 ;27,41 ;23,41 
26.Mar.24;43,35 ;35,80 ;41,95 ;41,90 ;31,73 ;27,41 ;23,41 
2.Nis.24;43,38 ;35,80 ;41,97 ;41,92 ;31,73 ;27,41 ;23,41 
5.Nis.24;43,40 ;35,80 ;42,02 ;41,97 ;31,73 ;27,41 ;23,41 
