DATE;KURŞUNSUZ BENZİN (TL/LT);GAZ YAĞI (TL/LT);TP MOTORİN (TL/LT);MOTORİN (TL/LT);KALORİFER YAKITI (TL/KG);FUEL OIL (TL/KG);Y.K. FUEL OIL (TL/KG)
27.Ağu.20;6,79 ;4,72 ;6,13 ;6,10 ;3,97 ;3,62 ;3,40 
29.Ağu.20;6,64 ;4,72 ;6,13 ;6,10 ;3,97 ;3,62 ;3,40 
4.Eyl.20;6,64 ;4,61 ;6,13 ;6,10 ;3,97 ;3,62 ;3,40 
5.Eyl.20;6,64 ;4,47 ;6,13 ;6,10 ;3,74 ;3,44 ;3,28 
8.Eyl.20;6,64 ;4,47 ;5,92 ;5,89 ;3,74 ;3,44 ;3,28 
10.Eyl.20;6,64 ;4,47 ;5,74 ;5,71 ;3,59 ;3,31 ;3,16 
12.Eyl.20;6,64 ;4,47 ;5,74 ;5,71 ;3,61 ;3,31 ;3,16 
15.Eyl.20;6,52 ;4,47 ;5,74 ;5,71 ;3,61 ;3,31 ;3,16 
18.Eyl.20;6,52 ;4,47 ;5,74 ;5,71 ;3,85 ;3,52 ;3,31 
19.Eyl.20;6,89 ;4,47 ;6,04 ;6,01 ;3,96 ;3,62 ;3,38 
22.Eyl.20;6,89 ;4,71 ;6,04 ;6,01 ;3,96 ;3,62 ;3,38 
23.Eyl.20;6,70 ;4,59 ;6,04 ;6,01 ;3,96 ;3,62 ;3,38 
24.Eyl.20;6,67 ;4,59 ;5,91 ;5,88 ;3,96 ;3,62 ;3,38 
25.Eyl.20;6,67 ;4,59 ;5,91 ;5,88 ;3,96 ;3,62 ;3,38 
30.Eyl.20;6,67 ;4,73 ;5,91 ;5,88 ;3,96 ;3,62 ;3,38 
1.Eki.20;6,80 ;4,73 ;5,91 ;5,88 ;3,96 ;3,62 ;3,38 
3.Eki.20;6,65 ;4,73 ;5,91 ;5,88 ;3,96 ;3,62 ;3,38 
6.Eki.20;6,65 ;4,63 ;5,91 ;5,88 ;3,92 ;3,63 ;3,22 
7.Eki.20;6,65 ;4,77 ;5,91 ;5,88 ;4,03 ;3,74 ;3,32 
8.Eki.20;6,81 ;4,90 ;6,15 ;6,12 ;4,15 ;3,85 ;3,37 
16.Eki.20;6,81 ;4,90 ;6,15 ;6,12 ;4,22 ;3,89 ;3,54 
24.Eki.20;6,69 ;4,90 ;6,15 ;6,12 ;4,19 ;3,88 ;3,66 
31.Eki.20;6,69 ;4,90 ;6,15 ;6,12 ;3,99 ;3,68 ;3,43 
3.Kas.20;6,53 ;4,90 ;6,02 ;5,99 ;3,99 ;3,68 ;3,43 
4.Kas.20;6,53 ;4,84 ;6,02 ;5,99 ;4,13 ;3,82 ;3,51 
5.Kas.20;6,71 ;4,96 ;6,18 ;6,15 ;4,23 ;3,91 ;3,60 
6.Kas.20;6,75 ;5,09 ;6,32 ;6,29 ;4,34 ;4,00 ;3,67 
12.Kas.20;6,94 ;5,09 ;6,32 ;6,29 ;4,34 ;4,00 ;3,67 
17.Kas.20;6,62 ;5,09 ;6,32 ;6,29 ;4,34 ;4,00 ;3,67 
19.Kas.20;6,62 ;5,09 ;6,32 ;6,29 ;4,20 ;3,89 ;3,50 
20.Kas.20;6,62 ;5,09 ;6,30 ;6,27 ;4,20 ;3,89 ;3,50 
25.Kas.20;6,62 ;5,09 ;6,30 ;6,27 ;4,36 ;4,03 ;3,69 
26.Kas.20;6,99 ;5,09 ;6,30 ;6,27 ;4,57 ;4,21 ;3,83 
27.Kas.20;6,99 ;5,44 ;6,58 ;6,55 ;4,57 ;4,21 ;3,83 
2.Ara.20;6,99 ;5,44 ;6,58 ;6,55 ;4,47 ;4,12 ;3,67 
10.Ara.20;6,99 ;5,44 ;6,58 ;6,55 ;4,60 ;4,21 ;3,77 
15.Ara.20;7,16 ;5,61 ;6,58 ;6,55 ;4,60 ;4,21 ;3,77 
16.Ara.20;7,18 ;5,61 ;6,58 ;6,55 ;4,60 ;4,21 ;3,77 
24.Ara.20;7,18 ;5,61 ;6,58 ;6,55 ;4,74 ;4,34 ;3,94 
17.Ara.20;7,18 ;5,61 ;6,58 ;6,55 ;4,74 ;4,34 ;3,94 
29.Ara.20;7,18 ;5,61 ;6,58 ;6,55 ;4,71 ;4,13 ;3,80 
1.Oca.21;7,22 ;5,61 ;6,61 ;6,58 ;4,71 ;4,13 ;3,80 
6.Oca.21;7,15 ;5,61 ;6,61 ;6,58 ;4,71 ;4,13 ;3,80 
